timestamp,testcase,vnf,packets,bytes,rate
"2022-05-06 15:53:28",netsniff-ng,netsniff-ng,41.000000,0.000000,0.000000
"2022-05-06 15:54:46",netsniff-ng,netsniff-ng,41.000000,0.000000,0.000000
"2022-05-06 15:56:14",netsniff-ng,netsniff-ng,41.000000,0.000000,0.000000
"2022-05-06 15:57:41",netsniff-ng,netsniff-ng,41.000000,0.000000,0.000000
"2022-05-06 15:59:08",netsniff-ng,netsniff-ng,41.000000,0.000000,0.000000
"2022-05-06 16:01:58",snort-ids,snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:03:17",snort-ids,snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:04:43",snort-ids,snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:06:12",snort-ids,snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:07:39",snort-ids,snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:10:17",suricata-ids,suricata-ids,0.000000,0.000000,0.000000
"2022-05-06 16:11:36",suricata-ids,suricata-ids,12.500000,2401.250000,0.000000
"2022-05-06 16:13:04",suricata-ids,suricata-ids,7.500000,1707.250000,0.000000
"2022-05-06 16:14:31",suricata-ids,suricata-ids,7.500000,1707.250000,0.000000
"2022-05-06 16:15:59",suricata-ids,suricata-ids,8.750000,1942.750000,0.000000
"2022-05-06 16:26:53",tcpdump,tcpdump,12273471.000000,0.000000,0.000000
"2022-05-06 16:28:11",tcpdump,tcpdump,471.000000,0.000000,0.000000
"2022-05-06 16:29:34",tcpdump,tcpdump,0.000000,0.000000,0.000000
"2022-05-06 16:31:01",tcpdump,tcpdump,0.000000,0.000000,0.000000
"2022-05-06 16:32:28",tcpdump,tcpdump,0.000000,0.000000,0.000000
"2022-05-06 16:36:17","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:36:18","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:36:19","snort-ids,netsniff-ng,suricata-ids",suricata-ids,0.000000,0.000000,0.000000
"2022-05-06 16:37:36","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:37:37","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:37:38","snort-ids,netsniff-ng,suricata-ids",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 16:39:02","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:39:03","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:39:04","snort-ids,netsniff-ng,suricata-ids",suricata-ids,9.750000,2285.500000,0.000000
"2022-05-06 16:40:31","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:40:32","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:40:33","snort-ids,netsniff-ng,suricata-ids",suricata-ids,11.375000,2434.250000,0.000000
"2022-05-06 16:42:01","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:42:02","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:42:03","snort-ids,netsniff-ng,suricata-ids",suricata-ids,12.750000,2419.750000,0.000000
"2022-05-06 16:47:10","snort-ids,firewall,tcpdump",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:47:11","snort-ids,firewall,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 16:48:34","snort-ids,firewall,tcpdump",snort-ids,19684.500000,1456653.000000,0.000000
"2022-05-06 16:48:35","snort-ids,firewall,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:03:53","snort-ids,tcpdump,firewall",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 17:03:54","snort-ids,tcpdump,firewall",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:05:33","snort-ids,tcpdump,firewall",snort-ids,21571.500000,1596291.000000,0.000000
"2022-05-06 17:05:34","snort-ids,tcpdump,firewall",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:07:01","snort-ids,tcpdump,firewall",snort-ids,21571.500000,1596291.000000,0.000000
"2022-05-06 17:07:02","snort-ids,tcpdump,firewall",tcpdump,1085056.000000,0.000000,0.000000
"2022-05-06 17:08:34","snort-ids,tcpdump,firewall",snort-ids,19755.000000,1461870.000000,0.000000
"2022-05-06 17:08:35","snort-ids,tcpdump,firewall",tcpdump,1632401.000000,0.000000,0.000000
"2022-05-06 17:10:00","snort-ids,tcpdump,firewall",snort-ids,19755.000000,1461870.000000,0.000000
"2022-05-06 17:10:01","snort-ids,tcpdump,firewall",tcpdump,1632401.000000,0.000000,0.000000
"2022-05-06 17:13:26","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:13:27","netsniff-ng,suricata-ids,tcpdump",suricata-ids,0.000000,0.000000,0.000000
"2022-05-06 17:13:28","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:14:48","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:14:48","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:14:50","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:16:18","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:16:19","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:16:20","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:17:48","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:17:49","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:17:50","netsniff-ng,suricata-ids,tcpdump",tcpdump,188.000000,0.000000,0.000000
"2022-05-06 17:19:18","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:19:19","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:19:20","netsniff-ng,suricata-ids,tcpdump",tcpdump,188.000000,0.000000,0.000000
