testcase,protocol,bandwidth,latency,vnf,g_cpu_time,g_vcpu_time,g_user_time,g_system_time,h_cpu_percent,h_user_time,h_system_time,h_mem_percent,h_total_mem,h_rss_mem,g_read_count,g_read_bytes,g_write_count,g_write_bytes,pps_recv,bps_recv,pps_sent,bps_sent,h_num_threads,h_vol_ctx,h_invol_ctx
snort-ids(1),tcp,400,0.358,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039642000,0.049569993,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2226.00,1913352.00,6.00,966.29,0.00
snort-ids(1),tcp,600,0.331,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039606420,0.039712705,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2251.00,1952480.00,6.00,966.74,0.00
snort-ids(1),tcp,800,0.323,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039646568,0.049538852,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2276.00,1991608.00,6.00,966.29,0.00
snort-ids(1),tcp,1000,0.320,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039666913,0.029737720,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2299.00,2029616.00,6.00,969.21,0.00
suricata-ids(1),tcp,200,0.366,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,11.95,0.039661901,0.049577716,3.17,2048.00,2039.62,0.00,0.00,22.00,176128.00,0.00,0.00,1116172.00,375747144.00,6.00,970.67,0.00
suricata-ids(1),tcp,400,0.430,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049513723,0.049568546,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116198.00,375786800.00,6.00,970.55,0.00
suricata-ids(1),tcp,600,0.372,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039619593,0.039632093,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116221.00,375824872.00,6.00,965.38,0.00
suricata-ids(1),tcp,800,0.362,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.049588548,0.039722609,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116247.00,375864528.00,6.00,969.92,0.00
suricata-ids(1),tcp,1000,0.357,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039691427,0.039682756,3.17,2048.00,2039.62,0.00,0.00,2.00,20480.00,0.00,0.00,1116273.00,375904184.00,6.00,970.63,0.00
tcpdump(1),tcp,200,0.423,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039646956,0.059414587,3.25,1024.00,2092.96,0.00,0.00,2.00,40960.00,0.00,0.00,6295.00,4957368.00,6.00,978.34,0.00
tcpdump(1),tcp,400,0.361,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039573168,0.059605035,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6322.00,4997680.00,6.00,981.71,0.00
tcpdump(1),tcp,600,0.325,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,11.95,0.039621479,0.059372246,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6347.00,5036808.00,6.00,984.47,0.00
tcpdump(1),tcp,800,0.335,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039756342,0.049588155,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6370.00,5074880.00,6.00,981.77,0.00
tcpdump(1),tcp,1000,0.337,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039662698,0.049530896,3.25,1024.00,2092.96,0.00,0.00,2.00,16384.00,0.00,0.00,6395.00,5114008.00,6.00,983.29,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029599574,0.039458752,2.07,2048.00,1329.84,0.00,0.00,2.00,36864.00,0.00,0.00,2359.00,2112896.00,6.00,967.07,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039431029,0.039461659,3.25,1024.00,2092.22,0.00,0.00,26.00,184320.00,0.00,0.00,195759.00,67474040.00,6.00,970.22,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049311275,0.039486803,3.17,2048.00,2039.62,0.00,0.00,37.00,245760.00,0.00,0.00,1116363.00,376048504.00,6.00,965.94,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029602554,0.049293704,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2382.00,2150968.00,6.00,973.53,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029626691,0.039502255,3.25,1024.00,2092.22,0.00,0.00,7.00,40960.00,0.00,0.00,195786.00,67514416.00,6.00,972.72,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.059145193,0.039455882,3.17,2048.00,2039.62,0.00,0.00,5.00,196608.00,0.00,0.00,1116389.00,376088160.00,6.00,971.62,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029605772,0.039498508,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2405.00,2189040.00,6.00,969.58,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029604866,0.049359044,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195814.00,67555128.00,6.00,968.82,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.059216030,0.049364749,3.17,2048.00,2039.62,0.00,0.00,6.00,40960.00,0.00,0.00,1116415.00,376127816.00,6.00,966.84,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039481609,0.039475496,2.07,2048.00,1329.84,0.00,0.00,41.00,229376.00,0.00,0.00,2431.00,2228696.00,6.00,971.10,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029590288,0.049422263,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195841.00,67595312.00,6.00,969.67,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049343499,0.049348144,3.17,2048.00,2039.62,0.00,0.00,7.00,40960.00,0.00,0.00,1116441.00,376167472.00,6.00,967.88,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039499479,0.039506354,2.07,2048.00,1329.84,0.00,0.00,0.00,0.00,0.00,0.00,2454.00,2266768.00,6.00,967.98,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029559918,0.039529549,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195866.00,67634632.00,6.00,969.88,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049305481,0.039496777,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116465.00,376206200.00,6.00,969.34,0.00
firewall(2),tcp,200,0.724,firewall,0.000000000,0.000000000,0.000000000,0.000000000,85.80,0.605053891,0.228135074,1.41,1024.00,906.81,0.00,0.00,11.00,57344.00,122846.00,1071183200.00,93333718.00,48422062928.00,7.00,969.67,0.00
firewall(2),tcp,400,0.754,firewall,0.000000000,0.000000000,0.000000000,0.000000000,139.60,1.056479218,0.307003674,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,238289.00,2078576400.00,94238142.00,48902962256.00,7.00,977.14,0.99
firewall(2),tcp,600,0.758,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.45,1.068614866,0.356916057,1.41,1024.00,906.81,0.00,0.00,37.00,180224.00,226078.00,1971394784.00,95424767.00,49539350376.00,7.00,971.43,0.00
firewall(2),tcp,800,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.60,1.053840230,0.356730547,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,226090.00,1971504800.00,96315672.00,50009779328.00,7.00,973.49,0.00
firewall(2),tcp,1000,0.696,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.30,1.069930778,0.327155643,1.41,1024.00,906.81,0.00,0.00,0.00,0.00,225529.00,1966606096.00,97176458.00,50464305416.00,7.00,976.71,0.00
netsniff-ng(1),tcp,200,0.327,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029759417,0.039661352,3.25,1024.00,2092.22,5.00,53248.00,26.00,159744.00,0.00,0.00,195570.00,67222072.00,6.00,968.65,0.00
netsniff-ng(1),tcp,400,0.368,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039611161,0.039680694,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195597.00,67262256.00,6.00,966.41,0.00
netsniff-ng(1),tcp,600,0.348,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,9.90,0.039633330,0.039772200,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195623.00,67301912.00,6.00,967.60,0.00
netsniff-ng(1),tcp,800,0.328,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029737311,0.049668298,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195647.00,67340512.00,6.00,968.50,0.00
netsniff-ng(1),tcp,1000,0.415,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029760057,0.039686758,3.25,1024.00,2092.29,0.00,0.00,0.00,0.00,0.00,0.00,195677.00,67381896.00,6.00,969.49,0.00
snort-ids(1),tcp,200,0.385,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039651525,0.049565930,2.07,2048.00,1329.84,0.00,0.00,23.00,147456.00,0.00,0.00,2201.00,1874416.00,6.00,970.08,0.00
snort-ids(1),tcp,400,0.358,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039642000,0.049569993,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2226.00,1913352.00,6.00,966.29,0.00
snort-ids(1),tcp,600,0.331,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039606420,0.039712705,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2251.00,1952480.00,6.00,966.74,0.00
snort-ids(1),tcp,800,0.323,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039646568,0.049538852,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2276.00,1991608.00,6.00,966.29,0.00
snort-ids(1),tcp,1000,0.320,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039666913,0.029737720,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2299.00,2029616.00,6.00,969.21,0.00
suricata-ids(1),tcp,200,0.366,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,11.95,0.039661901,0.049577716,3.17,2048.00,2039.62,0.00,0.00,22.00,176128.00,0.00,0.00,1116172.00,375747144.00,6.00,970.67,0.00
suricata-ids(1),tcp,400,0.430,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049513723,0.049568546,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116198.00,375786800.00,6.00,970.55,0.00
suricata-ids(1),tcp,600,0.372,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039619593,0.039632093,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116221.00,375824872.00,6.00,965.38,0.00
suricata-ids(1),tcp,800,0.362,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.049588548,0.039722609,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116247.00,375864528.00,6.00,969.92,0.00
suricata-ids(1),tcp,1000,0.357,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039691427,0.039682756,3.17,2048.00,2039.62,0.00,0.00,2.00,20480.00,0.00,0.00,1116273.00,375904184.00,6.00,970.63,0.00
tcpdump(1),tcp,200,0.423,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039646956,0.059414587,3.25,1024.00,2092.96,0.00,0.00,2.00,40960.00,0.00,0.00,6295.00,4957368.00,6.00,978.34,0.00
tcpdump(1),tcp,400,0.361,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039573168,0.059605035,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6322.00,4997680.00,6.00,981.71,0.00
tcpdump(1),tcp,600,0.325,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,11.95,0.039621479,0.059372246,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6347.00,5036808.00,6.00,984.47,0.00
tcpdump(1),tcp,800,0.335,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039756342,0.049588155,3.25,1024.00,2092.96,0.00,0.00,2.00,20480.00,0.00,0.00,6370.00,5074880.00,6.00,981.77,0.00
tcpdump(1),tcp,1000,0.337,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.039662698,0.049530896,3.25,1024.00,2092.96,0.00,0.00,2.00,16384.00,0.00,0.00,6395.00,5114008.00,6.00,983.29,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029599574,0.039458752,2.07,2048.00,1329.84,0.00,0.00,2.00,36864.00,0.00,0.00,2359.00,2112896.00,6.00,967.07,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039431029,0.039461659,3.25,1024.00,2092.22,0.00,0.00,26.00,184320.00,0.00,0.00,195759.00,67474040.00,6.00,970.22,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,200,0.384,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049311275,0.039486803,3.17,2048.00,2039.62,0.00,0.00,37.00,245760.00,0.00,0.00,1116363.00,376048504.00,6.00,965.94,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029602554,0.049293704,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2382.00,2150968.00,6.00,973.53,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029626691,0.039502255,3.25,1024.00,2092.22,0.00,0.00,7.00,40960.00,0.00,0.00,195786.00,67514416.00,6.00,972.72,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,400,0.381,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.059145193,0.039455882,3.17,2048.00,2039.62,0.00,0.00,5.00,196608.00,0.00,0.00,1116389.00,376088160.00,6.00,971.62,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029605772,0.039498508,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2405.00,2189040.00,6.00,969.58,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029604866,0.049359044,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195814.00,67555128.00,6.00,968.82,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,600,0.387,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.059216030,0.049364749,3.17,2048.00,2039.62,0.00,0.00,6.00,40960.00,0.00,0.00,1116415.00,376127816.00,6.00,966.84,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039481609,0.039475496,2.07,2048.00,1329.84,0.00,0.00,41.00,229376.00,0.00,0.00,2431.00,2228696.00,6.00,971.10,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029590288,0.049422263,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195841.00,67595312.00,6.00,969.67,0.99
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,800,0.378,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049343499,0.049348144,3.17,2048.00,2039.62,0.00,0.00,7.00,40960.00,0.00,0.00,1116441.00,376167472.00,6.00,967.88,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039499479,0.039506354,2.07,2048.00,1329.84,0.00,0.00,0.00,0.00,0.00,0.00,2454.00,2266768.00,6.00,967.98,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029559918,0.039529549,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195866.00,67634632.00,6.00,969.88,0.00
"snort-ids(1),netsniff-ng(1),suricata-ids(1)",tcp,1000,0.383,suricata-ids,0.000000000,0.000000000,0.000000000,0.000000000,12.00,0.049305481,0.039496777,3.17,2048.00,2039.62,0.00,0.00,2.00,24576.00,0.00,0.00,1116465.00,376206200.00,6.00,969.34,0.00
"snort-ids(1),firewall(2),tcpdump(1)",tcp,200,0.726,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029596287,0.039486731,2.07,2048.00,1329.84,0.00,0.00,2.00,36864.00,0.00,0.00,2509.00,2347984.00,6.00,966.63,0.00
"snort-ids(1),firewall(2),tcpdump(1)",tcp,200,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,77.80,0.542201856,0.226483390,1.41,1024.00,906.81,0.00,0.00,41.00,249856.00,132715.00,1157274800.00,97791723.00,50789342392.00,7.00,968.28,0.00
"snort-ids(1),firewall(2),tcpdump(1)",tcp,200,0.726,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039391669,0.039433335,3.25,1024.00,2092.96,0.00,0.00,16.00,81920.00,0.00,0.00,6451.00,5194888.00,6.00,966.01,0.00
"snort-ids(1),firewall(2),tcpdump(1)",tcp,400,0.728,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039482024,0.039499946,2.07,2048.00,1329.84,0.00,0.00,5.00,32768.00,1.00,560.00,2532.00,2386056.00,6.00,972.60,0.00
"snort-ids(1),firewall(2),tcpdump(1)",tcp,400,0.728,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.55,1.078818041,0.375430760,1.41,1024.00,906.81,0.00,0.00,36.00,176128.00,228083.00,1988890544.00,98823049.00,51340796408.00,7.00,974.07,0.99
"snort-ids(1),firewall(2),tcpdump(1)",tcp,400,0.728,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039408483,0.039469735,3.25,1024.00,2092.96,0.00,0.00,2.00,36864.00,1.00,560.00,6474.00,5232960.00,6.00,972.40,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,200,0.717,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029595487,0.049341240,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2498848.00,841244864.00,6.00,969.93,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,200,0.717,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039455877,0.049329227,3.25,1024.00,2093.53,0.00,0.00,2.00,20480.00,0.00,0.00,6549.00,5349480.00,6.00,985.14,0.99
"snort-ids(1),tcpdump(1),firewall(2)",tcp,200,0.717,firewall,0.000000000,0.000000000,0.000000000,0.000000000,77.70,0.567098578,0.197302969,1.41,1024.00,908.81,0.00,0.00,51.00,270336.00,122493.00,1068152528.00,123298345.00,63144523640.00,7.00,979.24,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,400,0.772,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029597729,0.049278083,2.07,2048.00,1329.84,0.00,0.00,3.00,24576.00,0.00,0.00,2498871.00,841282936.00,6.00,973.41,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,400,0.772,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,11.90,0.039561049,0.049420896,3.25,1024.00,2093.53,0.00,0.00,2.00,20480.00,0.00,0.00,6575.00,5389136.00,6.00,983.52,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,400,0.772,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.40,1.096699107,0.344965829,1.41,1024.00,908.81,0.00,0.00,2.00,16384.00,232729.00,2029857744.00,124454775.00,63767031896.00,7.00,974.61,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,600,0.758,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029584632,0.039495133,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2498897.00,841322720.00,6.00,974.63,0.00
"snort-ids(1),tcpdump(1),firewall(2)",tcp,600,0.758,tcpdump,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039457212,0.049241439,3.25,1024.00,2093.53,0.00,0.00,2.00,20480.00,0.00,0.00,6602.00,5429320.00,6.00,977.23,0.99
